id;question;difficulty_level;correct_answer;answer2;answer3;answer4;topic_id;topic_name
92;"Find the solutions $\left(\text{in } \mathbb{C}^2\right)$ of the following linear system:
$$\begin{cases}
(1+i)z& + & (1-i)w & = & i \\
(1-i)z& + & (1+i)w & = & 1-i
\end{cases}$$";4;The unique solution of the linear system is $\bigg(\frac{3+i}{4},-\frac{1+i}{4}\bigg)$.;The solutions of the linear system are of the form $\bigg(\frac{1+i}{4},\frac{-1+i}{4}+z\bigg)$, for every $z\in\mathbb{C}$.;The linear system has no solutions.;The linear system has the vector $(i,-i)$ has its unique solution.;18;Linear Algebra
93;Identify the Product Rule;1;$\displaystyle{\frac{dy}{dx}}={{u}\frac{dv}{dx}}+{{v}\frac{du}{dx}}$;$\displaystyle{\frac{dy}{dx}}={{u}\frac{du}{dx}}+{{v}\frac{dv}{dx}}$;$\displaystyle{\frac{dy}{dx}}={{u}\frac{dv}{dx}}-{{v}\frac{du}{dx}}$;$\displaystyle{\frac{dy}{dx}}=\frac{{v}\frac{du}{dx}-{u}\frac{dv}{dx}}{v^2}$;4;Differentiation
94;Differentiate $y(x)=\displaystyle{(4-x^3)e^{5x}}$.;1;$\displaystyle{\frac{dy}{dx}} = 5(4-x^3)e^{5x}-3x^2e^{5x}$;$\displaystyle{\frac{dy}{dx}} = 5(4-x^3)e^{5x}+3x^2e^{5x}$;$\displaystyle{\frac{dy}{dx}} = 5(4-x^2)e^{5x}-3x^2e^{5x}$;$\displaystyle{\frac{dy}{dx}} = 5(4-x^2)e^{5x}+3x^2e^{5x}$;4;Differentiation
95;Differentiate ${y(x)= 3x^2 e^{4x}}$.;4;$\dfrac{dy}{dx}={12x^2e^{4x}}+{6xe^{4x}}$;$\dfrac{dy}{dx}={12x^2e^{4x}}+{6x^4e^{4x}}$;$\dfrac{dy}{dx}={12x^4e^{4x}}+{6x^4e^{4x}}$;$\dfrac{dy}{dx}={12x^2e^{3x}}+{6xe^{3x}}$;4;Differentiation
96;Differentiate $\displaystyle{y = 4x^{2}{(e^{3x} + \cos(x))}}$.;3;$y'=\displaystyle{12x^{2}e^{3x}+8xe^{3x}-4x^{2}\sin(x) +8x\cos(x)}$  ;$y'=\displaystyle{12x^{2}e^{3x}-8xe^{3x}-4x^{2}\sin(x) +8x\cos(x)}$ ;$y'=\displaystyle{12x^{2}e^{3x}+8xe^{3x}+4x^{2}\sin(x) +8x\cos(x)}$  ;$y'=\displaystyle{12x^{2}e^{3x}-8xe^{3x}+4x^{2}\sin(x) +8x\cos(x)}$  ;4;Differentiation
97;Differentiate $\displaystyle{y = (4x^{3}-x)(5-5x)}$.;1;$y'=\displaystyle{5(-16x^{3}+12x^{2}+2x-1)}$ ;$y'=\displaystyle{5(16x^{3}+12x^{2}+2x-1)}$ ;$y'=\displaystyle{5(16x^{3}+12x^{2}+2x+1)}$ ;$y'=\displaystyle{5(-16x^{3}+12x^{2}+2x-5)}$ ;4;Differentiation
98;Differentiate $\displaystyle{y = (2x^{2}+4x^{3})(3x^{3}-4x^{2})}$.;1;$\displaystyle{y'=72x^{5}-50x^{4}-32x^{3}}$  ;$\displaystyle{y'=72x^{5}+50x^{4}+32x^{3}}$  ;$\displaystyle{y'=72x^{5}-50x^{4}+32x^{3}}$  ;$\displaystyle{y'=72x^{5}+50x^{4}-32x^{3}}$  ;4;Differentiation
100;Differentiate $\displaystyle{y = (4x^{3}-x)(5-5x)}$ and find the value of ${\dfrac{dy}{dx}}$ if ${x=1}$.;4;$-15$;$15$;$13$;$-13$;4;Differentiation
101;Differentiate  $\displaystyle{y = (4x^\frac{3}{2})\tan\left(x\right)}$.;4;$y'=6\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$;$y´=-6\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$;$y´=4\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$;$y´=-4\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$;4;Differentiation
102;"Make $r$ the subject of the expression

$p=q+r$";4;$r=p-q$;$r=p+q$;$r=\frac{p}{q}$;$r=q-p$;7;Fundamental Mathematics
104;"Make $d$ the subject of the expression

$b=c-d$";4;$d = c - b$;$d =b + c$;$d = \frac{b}{c}$;$d = b - c$;7;Fundamental Mathematics
108;"Make $a$ the subject of the expression

$mz=ad$";4;$a=\frac{mz}{d}$;$a=\frac{d}{mz}$;$a=d+mz$;$a=d-mz$;7;Fundamental Mathematics
112;"Make $d$ the subject of the expression

$p=\frac{\pi d}{2}$";4;$d=\frac{2p}{\pi}$;$d={\frac{\pi}{2}}-p$;$d=\frac{\pi}{2p}$;$d=\frac{2\pi}{p}$;7;Fundamental Mathematics
113;"Consider $m \neq 0$. Make $x$ the subject of the expression

$y=mx+c$";4;$x=\frac{y-c}{m}$;$x=\frac{y}{m+c}$;$x=m+c-y$;$x=\frac{y-m}{c}$;7;Fundamental Mathematics
114;"Make $r$ the subject of the expression

$A=4\pi r^2$";4;$r=\pm \sqrt\frac{A}{4 \pi}$;$r=\pm \sqrt\frac{4 \pi}{A}$;$r=\frac{A^2}{4\pi}$;$r=\sqrt{4\pi-A}$;7;Fundamental Mathematics
117;"Consider $m \neq 0$. Make $v$ the subject of the expression

$K=\frac{1}{2}mv^2$";3;$v=\sqrt\frac{2K}{m}$;$v=\sqrt\frac{Km}{2}$;$v=\sqrt\frac{2}{Km}$;$v=\frac{2K^2}{m}$;7;Fundamental Mathematics
118;"Make $r$ the subject of the expression

$v=\dfrac{2}{3}\pi r^3$";1;\[ r = \sqrt[3]{\frac{3v}{2\pi}} \];\[r = \sqrt[3]{\frac{2\pi}{3v}} \];$r= \dfrac{2\pi}{3v^3}$;\[ r = \sqrt[3]{\frac{2v}{3\pi}} \];7;Fundamental Mathematics
120;"Make $x$ the subject of the expression

$y=\displaystyle \sqrt\frac{3x}{4k}$";1;$x=\dfrac{4}{3}ky^2$;$x=\dfrac{3}{4}ky^2$;$x=\dfrac{4}{3}k^2y$;$x=\displaystyle \sqrt\frac{3y}{4k}$;7;Fundamental Mathematics
121;"Make $b$ the subject of the expression

$\frac{p}{q}=\sqrt\frac{(a +2b)}{(a-2b)}$";3;$b=\frac{a(p^2-q^2)}{2(p^2 +q^2)}$;$b=\frac{2(p^2 +q^2)}{a(p^2-q^2)}$;$b=\sqrt\frac{q}{-p}$;$b=-\sqrt\frac{1+q}{1-p}$;7;Fundamental Mathematics
122;"Let  $A=\left( \begin{array}{rr}
1 & 3 \\ 
2 & -1 \end{array}
\right)$ and $f\left(x\right)=x^3-2x+5I_{2\times2}$. Find $f(A)$.";2;"$\left( \begin{array}{rr}
10 & 15 \\ 
10 & 0 \end{array}
\right)$";"$\left( \begin{array}{rr}
10 & 15 \\ 
10 & -5 \end{array}
\right)$";"$\left( \begin{array}{rr}
2 & 4 \\ 
3 & 0 \end{array}
\right)$";"$\left( \begin{array}{rr}
10 & -1 \\ 
1 & 14 \end{array}
\right)$";18;Linear Algebra
123;"Suppose that $A=\left( \begin{array}{rrr}
2 & 0 & -1 \\ 
3 & 1 & 0 \\ 
-2 & 1 & 3 \end{array}
\right)$.

Find matrix $B$ such that matrices $A$ and $B$ are inverses.";2;"$B=\left( \begin{array}{rrr}
3 & -1 & 1 \\ 
-9 & 4 & -3 \\ 
5 & -2 & 2 \end{array}
\right)$";"$B=\left( \begin{array}{rrr}
2 & 3 & -2 \\ 
0 & 1 & 1 \\ 
-1 & 0 & 3 \end{array}
\right)$";"$B=\left( \begin{array}{rrr}
1 & 0 & 0 \\ 
0 & 1 & 0 \\ 
0 & 0 & 1 \end{array}
\right)$";insufficient information to find $B$;18;Linear Algebra
124;"Find ${\left(C^T \cdot B-6 \cdot I^{-1}\right)}^2$, where $B=\left( \begin{array}{rrr}
2 & 1 & 1 \\ 
0 & 0 & 3 \end{array}
\right)$, $C=\left( \begin{array}{rrr}
3 & 3 & 1 \\ 
1 & -2 & 2 \end{array}
\right)$, and $I$  -- identity matrix.";1;"$\left( \begin{array}{rrr}
30 & -3 & -3 \\ 
-24 & 24 & 42 \\ 
8 & 4 & 10 \end{array}
\right)$";"$\left( \begin{array}{rrr}
55 & 27 & 57 \\ 
36 & 19 & 12 \\ 
28 & 14 & 45 \end{array}
\right)$";"$\left( \begin{array}{rrr}
79 & 39 & 81 \\ 
60 & 31 & 0 \\ 
36 & 18 & 73 \end{array}
\right)$";given operation is not valid;18;Linear Algebra
125;"Find $M^2+(A^T\cdot B)^{-1}$, where $A=\left( \begin{array}{rrr}
-1 & 3 & 2 \end{array}
\right)$, $B=\left( \begin{array}{rrr}
-2 & 4 & 1 \end{array}
\right)$, and $M=\left( \begin{array}{rrr}
7 & 2 & 1 \\
-1 & 3 & 0  \\
2 & 0 & -2 \end{array}
\right)$.";2;given operation is not valid;"$\left( \begin{array}{rrr}
11 & 4 & 0 \\ 
-6 & 3 & 1 \\ 
23 & 14 & -8 \end{array}
\right)$";"$\left( \begin{array}{rrr}
49 & 20 & 5 \\ 
-10 & 7 & -1 \\ 
10 & 4 & 6 \end{array}
\right)$";"$\left( \begin{array}{rrr}
7 & 2 & 1 \\
-1 & 3 & 0  \\
2 & 0 & -2 \end{array}
\right)$";18;Linear Algebra
126;"Suppose that $A=\left( \begin{array}{rrr}
0 & 0 & 1 \\ 
4 & -1 & 2 \\ 
-1 & 0 & -2 \end{array}
\right)$ and $B=\left( \begin{array}{rrr}
4 & 1 & 0 \\ 
-4 & -2 & 4 \\ 
0 & 3 & 1 \end{array}
\right)$.

Find $\mathrm{det} \left(X\right)$ if  $A \cdot X\cdot B -B^2=0$.";3;$52$;$0$;$-11$;given operation is not valid;18;Linear Algebra
127;"Suppose that $A=\left( 
 \begin{array}{rrr}
2 & 1 & 3 \\ 
0 & 0 & 5  \\ 
-1 & -2 & 1  \\ 
3 & 1 & 2 \end{array} \right)$, $B=\left( \begin{array}{rrr}
1 & 1 & 0 \\ 
2 & 1 & 1 \\ 
1 & 1 & 1 \end{array}
\right)$, and $C=\left(  \begin{array}{rrr}
1 & 2 & 0  \\ 
2 & 4 & 1  \\ 
3 & 6 & 2  \\ 
-4 & -8 & 1  \end{array}
\right)$.

Which matrix has the rank $2$ ?";2;$C$; $A$;$B$;none of the given matrices;18;Linear Algebra
128;Suppose that the rank of matrix $A$ is $n, n\neq 0$. Which of the following statements is correct?;3;the number of non-zero rows is $n$;$\mathrm{det} \left(A \right) =n$;$A$ is invertible matrix;$\mathrm{det} \left(A \right) \leq n $;18;Linear Algebra
129;"Let $A=\left( \begin{array}{rr}
1 & 2 \\ 
3 & 4 \end{array}
\right)$ and $B=\left( \begin{array}{rr}
0 & 2 \\ 
3 & k \end{array}
\right)$.

For what value of $k$ the matrices $A$ and $B$ will be commuting?";1;$3$;$0$;$-4$;such value is not possible;18;Linear Algebra
130;"What is the determinant of the matrix  $A=\left( 
 \begin{array}{rrrr}
3 & 2 &  1 & -2  \\ 
1 & 1 &  2 & 3  \\ 
 0 & 1 & 0 & -1  \\ 
2 & 3 &  4 & 5 \end{array}
\right)$?";2;$0$;$-1$;$2$;$1$;18;Linear Algebra
131;"What is the determinant of the matrix  $A=\left( 
 \begin{array}{rrrr}
x & 0 &  0 & -x  \\ 
0 & -x & -1 & 1  \\ 
 1 & 0 & x & -1  \\ 
x & 0 &  0 & 1 \end{array}
\right)$, $x\neq 0$?";1;$-x^3 \left(1+x \right)$;$x^2+x^4$;$x^3+x^4$;$0$;18;Linear Algebra
132;Suppose that the size of matrix $A$ is at least $2\times 2$. Which of the following statements is correct?;3; ${\mathrm{det} \left(A^{-1}\right)\ }=\frac{1}{\mathrm{det} \left(A\right)\ }$;${\mathrm{det} \left(k \cdot A\right)\ }=k \cdot {\mathrm{det} \left(A\right), k\neq 0 }$;${\mathrm{det} \left(A^{-1}\right)\ }=-{\mathrm{det} \left(A\right)\ }$;${\mathrm{det} \left(A^T\right)\ }=-{\mathrm{det} \left(A\right)\ }$;18;Linear Algebra
133;"Matrix $\left( \begin{array}{rrrr}
1 & -2 &  4 & -10  \\ 
 0 & 4 &  7 & -3  \\ 
 0 & 0 &  -2 & 17  \\ 
 0& 0 &  0 & 1 \end{array} \right)$ was derived from matrix $A$ after row operations such that 
$R_2\leftrightarrow R_3,   R_2 \leftarrow 2R_2,  R_3\leftarrow R_3+2R_1,$ and $R_4\leftarrow R_4+3R_1$. What is the determinant of the matrix $A$?";3;$4$;insufficient information to solve;$-8$;$16$;18;Linear Algebra
134;Which of the following statements is correct for non-zero values of $a, b, c, d, e, f, g, h, i, k$?;1;"$\left| \begin{array}{rrr}
a & b & c \\ 
a & b & c \\ 
d & e & f \end{array}
\right|=0 $";"$\left| \begin{array}{rrr}
a & b & c \\ 
-d & -e & -f \\ 
g & h & i \end{array}
\right|=\left| \begin{array}{rrr}
a & b & c \\ 
d & e & f \\ 
g & h & i \end{array}
\right|$";"$\left| \begin{array}{rrr}
a & b & c \\ 
d & e & f \\ 
g & h & i \end{array}
\right|=-\left| \begin{array}{rrr}
a & d & g \\ 
b & e & h \\ 
c & f & i \end{array}
\right|$";"$\left| \begin{array}{rrr}
k \cdot a & k\cdot b & k\cdot c \\ 
k\cdot d & k\cdot e & k\cdot f \\ 
k\cdot g & k\cdot h & k\cdot i \end{array}
\right|=k\cdot \left| \begin{array}{rrr}
a & b & c \\ 
d & e & f \\ 
g & h & i \end{array}
\right|$";18;Linear Algebra
135;"Let $A=\left( \begin{array}{rrr}
-1 & 2 & 0 \\ 
2 & -4 & 0 \end{array}
\right)$. Which of the following statements is correct?";2;${\mathrm{det} \left(A^T\right) }$ is undefined;$A$ is symmetric ;$A$ is invertable;${\mathrm{rank} (A)\ }=2$;18;Linear Algebra
136;"Let $A=\left( \begin{array}{rrr}
-1 & 2 & 1 \\ 
7 & 1 & 0 \end{array}
\right)$,  $B=\left( \begin{array}{rr}
-1 & 1 \\ 
7 & 1 \\ 
2 & 0 \end{array}
\right),$ and $C=\left( \begin{array}{rr}
-1 & 2 \\ 
0 & 1 \end{array}
\right)$. Which of the following statements is correct?";2;"$ C + A \cdot B=\left( \begin{array}{rr}
16 & 3 \\ 
0 & 9 \end{array}
\right)$";"$B\cdot A+C=\left( \begin{array}{rrr}
7 & 1 & -1 \\ 
0 & 16 & 7 \\ 
-2 & 4 & 2 \end{array}
\right)$";"$C\cdot A^T+B=\left( \begin{array}{rr}
3 & -1 \\ 
24 & 8 \\ 
0 & -7 \end{array}
\right)$";"$A\cdot B\cdot C=\left( \begin{array}{rr}
8 & 0 \\ 
35 & -17 \end{array}
\right)$";18;Linear Algebra
137;"Find the inverse of $A=\left( 
 \begin{array}{rrrr}
1 & 3 &  1 & 2  \\ 
 5 & 8 &  5 & 3  \\ 
 0 & 4 &  0 & 0  \\ 
 2 & 3 &  2 & 8 \end{array}
\right)$.";2;impossible, the inverse is undefined;"$\left(  \begin{array}{rrrr}
1 & 1/3 &  1 & 1/2  \\ 
 1/5 & 1/8 & 1/5 & 1/3  \\ 
 0 & 1/4 &  0 & 0  \\ 
1/2 & 1/3 &  1/2 & 1/8 \end{array}
\right)$ ";"$ \left( \begin{array}{rrrr}
-136 & 16 &  49 & 28  \\ 
 0 & 0 &  0 & 0  \\ 
 136 & -16 & -49 & -28 \\ 
0 & 0 & 0 & 0 \end{array} \right)$";"$\left(  \begin{array}{rrrr}
1 & 0 &  0 & 0  \\ 
 0 & 1 &  0 & 0  \\ 
 0 & 0 &  1 & 0  \\ 
 0 & 0 &  0 & 1 \end{array}
 \right)$";18;Linear Algebra
138;"Compute the determinant of $A=\left( \begin{array}{rrrr}
1 & -3 &  1 & 2  \\ 
 -2 & 1 &  2 & 1  \\ 
 0 & 0 &  -1 & 0   \\ 
2 & 4 &  2 & 1 \end{array} \right)$. ";2;$35$;$11$;$-1$;impossible, the determinant is undefined;18;Linear Algebra
139;"Consider $A=\left( \begin{array}{rrr}
7 & 2 & 1 \\ 
0 & 3 & -1 \\ 
-3 & 4 & -2 \end{array}
\right)$. Which of the following statements is correct?";4;${\mathrm{det} (A^{-1}) }=1$;${\mathrm{det} (A^T) }=0$;${\mathrm{rank} (A^{-1}) }=1$;${\mathrm{det} \left(2 \cdot A\right) }=2$;18;Linear Algebra
140;"Let $A$ be an invertible matrix and $k\neq 0$ a constant. Considering the following statements:

S1:  $\left(k\cdot A \right)^{-1}=k^{-1} \cdot A^{-1}$ and 
S2:  $\mathrm{det} \left(A^{-1} \right)=\left(\mathrm{det} \left(A \right)\right)^{-1}$,

which is the correct answer?";3;S1 and S2 are both true;S1 is true, S2 is false;S1 is false, S2 is true;S1 and S2 are both false;18;Linear Algebra
141;If $A$ and $B$  are square matrices of order $n$, then which of the following statements is correct?;2;$\mathrm{det} \left(A \cdot B\right) = \mathrm{det} \left(B \cdot A\right)$;$A+B\neq B+A$;$A \cdot B=B\cdot A$;none of the options given are correct;18;Linear Algebra
142;Differentiate $y = (x^4 - 4x +1)^4$.;1;$\frac{dy}{dx} = 4(x^4 - 4x +1)^3(4x^3 - 4)$;$\frac{dy}{dx} = 4(x^4 - 4x +1)^3$;$\frac{dy}{dx} = 4(x^4 - 4x +1)(4x^3 - 4)$;$\frac{dy}{dx} = 4(x^4 - 4x + 1)$;4;Differentiation
143;Differentiate $y = \dfrac{\ln(t)}{t^2+1}$.;3;$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} - 2t\ln(t)}{(t^2 +1)^2}$;$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} + 2t \ln(t) }{(t^2 + 1)^2}$;$\dfrac{dy}{dt} = \dfrac{t^3 + \frac{1}{t} - 2t \ln(t )}{(t^2 + 1)^2}$;$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} - (2t + 1) \ln(t )}{(t^2 + 1)^2}$;4;Differentiation
144;Differentiate $y = \dfrac{\operatorname{e}^{-3x}}{x^2+1}$.;4;$\dfrac{dy}{dx} = \dfrac{\operatorname{e}^{-3x} (-3x^2 - 3 -2x)}{(x^2 + 1)^2}$;$\dfrac{dy}{dx} = \dfrac{\operatorname{e}^{-4x} (-3x^2 - 3 -2x)}{(x^2 + 1)^2}$;$\dfrac{dy}{dx} = \dfrac{\operatorname{e}^{-3x} (3x^2 + 3 -2x)}{(x^2 + 1)^2}$;$\dfrac{dy}{dx} = \dfrac{\operatorname{e}^{-3x} (- 3 -2x)}{x^2 + 1}$;4;Differentiation
145;Differentiate $f(x) = 2\operatorname{sin}(3x) - 5\operatorname{cos}(2x)$.;1;$f'(x) = 6\operatorname{cos}(3x) + 10\sin(2x)$;$f'(x) = 2\operatorname{cos}(3x) + 5\operatorname{sin}(2x)$;$f'(x) = 6\operatorname{cos}(3x) - 10\operatorname{sin}(2x)$;$f'(x) = 3\operatorname{cos}(3x) -2\operatorname{sin}(2x)$;4;Differentiation
146;The general solution of the differential equation $y'=\dfrac{2x \sqrt y}{x^2-1}$ where $x\neq \pm 1$ and $y>0$ is:;2;$-\ln |1-x^2|+2\sqrt{y}=\cal {C}$;$\ln(1-x^2)+2\sqrt{y}=\cal {C}$;$2\ln|1-x^2|+\sqrt{y}=\cal {C}$;${y}=\dfrac{1}{2}\bigg[ \cal{C} -\ln(x-1) \bigg]^2$;16;Differential Equations
147;Differentiate $y = \operatorname{cos}(1-4x)$.;1;$\frac{dy}{dx}=4\operatorname{sin}(1 - 4x)$;$\frac{dy}{dx}=-4\operatorname{sin}(1 - 4x)$;$\frac{dy}{dx}=-\operatorname{sin}(1 - 4x)$;$\frac{dy}{dx}=-\operatorname{sin}(-4)$;4;Differentiation
148;Calculate the differential of the function $\displaystyle f:{\mathbb R}^2 \rightarrow \mathbb R$, $\displaystyle f(x,y)=\frac{x}{y}\arctan\bigg(\frac{y}{x}\bigg)$.;1;$\displaystyle df(x,y)=\frac{1}{y}\bigg[\arctan \bigg(\frac{y}{x}\bigg)-\frac{x^2y^2}{x^2+y^2}\bigg]dx+\frac{x}{y^2}\bigg[\frac{xy}{x^2+y^2}-\arctan\bigg(\frac{y}{x}\bigg)\bigg]dy$;$\displaystyle df(x,y)=\frac{1}{y^2}\arctan\bigg(\frac{y}{x}\bigg)dx-\frac{1}{x}\arctan \bigg(\frac{y}{x}\bigg)dy$;$\displaystyle df(x,y)=\frac{1}{y^2}\bigg[\arctan \bigg(\frac{y}{x}\bigg)-\frac{1}{x^2+y^2}\bigg]dx+\frac{x}{y}\bigg[\frac{1}{x^2+y^2}-\arctan \bigg(\frac{y}{x}\bigg)\bigg]dy$;$\displaystyle df(x,y)=\frac{1}{y}\bigg[1-\frac{x^2y^2}{x^2+y^2}\bigg]dx+\frac{x}{y^2}\bigg[\frac{x^2y^2}{x^2+y^2}-\arctan \bigg(\frac{y}{x}\bigg)\bigg]dy$;4;Differentiation
149;What can we say about the relative extrema of the function $f:(0,\infty) \times (0,\infty)\rightarrow \mathbb R$ given by $f(x,y)= x^2+xy+y^2-4\ln (x) -10\ln( y)+3$?;3;The point $M(2,1)$ is a relative minimizer.;The points $M(1,2)$ is a relative maximizer.;The point $M(2,1)$ is a relative maximizer.;The points $M(2,1)$ and $N(1,2)$ are relative minimizer and respectively, relative maximizer.;12;Optimization
150;The differentiable function $f:{\mathbb R}^2 \rightarrow \mathbb R$, $f(x,y)=y\cdot \varphi (x^2-y^2),$ where $\varphi:\mathbb R\rightarrow \mathbb R$ is a ${\cal C}^1$-class function, satisfies the equation:;3;$\frac{1}{x}\frac{\partial f}{\partial x}+\frac{1}{y}\frac{\partial f}{\partial y}=\frac{1}{y^2}f$;$\frac{1}{y}\frac{\partial f}{\partial x}+\frac{1}{x}\frac{\partial f}{\partial y}=\frac{1}{x^2y^2}f$;$\frac{\partial f}{\partial x}+\frac{\partial f}{\partial y}=\frac{3}{y^2}f$;$\frac{1}{x^2}\frac{\partial f}{\partial x}+\frac{1}{y^2}\frac{\partial f}{\partial y}=\frac{1}{xy}f$;4;Differentiation
151;Find the extrema of the function $y=f(x),$ defined implicitly by the equation $x^2-2xy+5y^2-2x+4y+1=0.$;4;The function has one minimum point $x=1$ with the minimum value of the function $y=0$ and a maximum point $x=\dfrac{1}{2}$ with the maximum value of the function $y=-\frac{1}{2}.$;The function has two minimum points $x=1$ and $x=-\dfrac{1}{2}$ with the minimum value of the function $y=\frac{1}{2}.$;The function has no extrema points.;The function has one maximum point $x=1$ with the maximum value of the function $y=0$ and a minimum point $x=\dfrac{1}{2}$ with the minimum value of the function $y=-\frac{1}{2}.$;12;Optimization
